Model;Approach;Repetition;Resets;stepsUntilLastReset;lastCandidatePrint
bluetooth_oneinit.pm(mrec=4);cautious1;0;5;2593;Resets: 5 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;1;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;2;28;14508;Resets: 28 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;3;3;1639;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;4;4;1844;Resets: 4 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;5;14;7670;Resets: 14 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;6;5;3073;Resets: 5 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;7;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;8;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;9;5;2369;Resets: 5 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;10;2;1018;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;11;2;1146;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;12;5;2049;Resets: 5 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;13;1;333;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;14;2;954;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;15;1;493;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;16;15;7491;Resets: 15 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;17;8;3656;Resets: 8 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;18;4;1844;Resets: 4 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;21;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;20;12;5180;Resets: 12 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;22;8;3880;Resets: 8 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;23;2;794;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;24;2;858;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;25;2;954;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;26;5;2209;Resets: 5 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;27;3;1895;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;19;5;2849;Resets: 5 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;28;3;1127;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;29;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;30;2;954;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;31;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;32;3;1543;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;33;1;365;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;34;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;35;2;1018;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;36;2;954;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;39;1;365;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;38;10;4226;Resets: 10 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;40;2;1018;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;41;9;4789;Resets: 9 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;42;2;986;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;43;3;1415;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;44;4;2164;Resets: 4 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;45;3;1127;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;46;6;3662;Resets: 6 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;47;2;858;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;48;3;1191;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;49;3;1447;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;50;1;461;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;51;4;1620;Resets: 4 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;52;1;557;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;53;1;429;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;37;3;1511;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;54;4;2228;Resets: 4 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;56;7;3291;Resets: 7 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;57;1;493;Resets: 1 visitNo: 1 candSize: 1
