Model;Approach;Repetition;Stats;lastCandPrint
bluetooth_oneinit.pm(mrec=4);cautious1;4;Resets 2 ;stepsInResetRuns 954;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;5;Resets 0 ;stepsInResetRuns 0;init
bluetooth_oneinit.pm(mrec=4);cautious1;6;Resets 6 ;stepsInResetRuns 2990;Resets: 6 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;7;Resets 1 ;stepsInResetRuns 365;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;8;Resets 7 ;stepsInResetRuns 3835;Resets: 7 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;9;Resets 13 ;stepsInResetRuns 6249;Resets: 13 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;10;Resets 3 ;stepsInResetRuns 1703;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;11;Resets 2 ;stepsInResetRuns 1114;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;12;Resets 4 ;stepsInResetRuns 1716;Resets: 4 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;13;Resets 3 ;stepsInResetRuns 1543;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;14;Resets 1 ;stepsInResetRuns 237;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;15;Resets 3 ;stepsInResetRuns 1703;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;16;Resets 7 ;stepsInResetRuns 3867;Resets: 7 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;17;Resets 0 ;stepsInResetRuns 0;init
nand.pm(N=50,K=3);cautious1;1;Resets 9 ;stepsInResetRuns 12618;Resets: 9 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;18;Resets 5 ;stepsInResetRuns 2497;Resets: 5 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;19;Resets 6 ;stepsInResetRuns 3502;Resets: 6 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;0;Resets 10 ;stepsInResetRuns 14020;Resets: 10 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;2;Resets 10 ;stepsInResetRuns 14020;Resets: 10 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;3;Resets 6 ;stepsInResetRuns 8412;Resets: 6 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;4;Resets 0 ;stepsInResetRuns 0;init
nand.pm(N=50,K=3);cautious1;5;Resets 7 ;stepsInResetRuns 9814;Resets: 7 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;6;Resets 3 ;stepsInResetRuns 4206;Resets: 3 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;8;Resets 14 ;stepsInResetRuns 19628;Resets: 14 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;9;Resets 20 ;stepsInResetRuns 28040;Resets: 20 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;7;Resets 11 ;stepsInResetRuns 15422;Resets: 11 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;12;Resets 2 ;stepsInResetRuns 2804;Resets: 2 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;13;Resets 0 ;stepsInResetRuns 0;init
